VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,113,2634,2747,s,465,4208,4673,
v,113,2623,2736,s,465,4206,4671,
v,113,2623,2736,s,465,4199,4664,
v,113,2634,2747,s,465,4206,4671,
v,110,2621,2731,s,465,4203,4668,
