VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,436,49236,49672,s,17731,134920,152651,
v,430,49174,49604,s,17729,135704,153433,
v,445,50243,50688,s,17725,136104,153829,
v,462,51261,51723,s,17705,136221,153926,
v,440,50098,50538,s,17701,135138,152839,
