VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,65,761,826,s,165,1199,1364,
v,65,754,819,s,165,1196,1361,
v,65,754,819,s,165,1195,1360,
v,65,753,818,s,165,1195,1360,
v,65,755,820,s,165,1197,1362,
