VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,257,7622,7879,s,491,8404,8895,
v,255,7600,7855,s,491,8393,8884,
v,255,7588,7843,s,490,8389,8879,
v,255,7595,7850,s,491,8388,8879,
v,255,7594,7849,s,489,8391,8880,
