VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,423,19181,19604,s,1798,16975,18773,
v,418,19165,19583,s,1796,16946,18742,
v,419,19130,19549,s,1796,16944,18740,
v,418,19202,19620,s,1799,16975,18774,
v,418,19212,19630,s,1799,16982,18781,
