VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,60,1088,1148,s,894,2117,3011,
v,60,1080,1140,s,893,2111,3004,
v,60,1081,1141,s,890,2110,3000,
v,60,1079,1139,s,891,2110,3001,
v,60,1079,1139,s,891,2110,3001,
