VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,60,717,777,s,436,1075,1511,
v,60,711,771,s,435,1070,1505,
v,60,710,770,s,435,1070,1505,
v,60,707,767,s,435,1072,1507,
v,60,706,766,s,435,1070,1505,
