VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,126,4144,4270,s,910,4216,5126,
v,125,4134,4259,s,910,4207,5117,
v,125,4131,4256,s,910,4212,5122,
v,125,4135,4260,s,910,4205,5115,
v,125,4132,4257,s,910,4210,5120,
