VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,455,36068,36523,s,1823,33686,35509,
v,450,36068,36518,s,1821,33657,35478,
v,450,36076,36526,s,1821,33657,35478,
v,450,36087,36537,s,1822,33661,35483,
v,451,36100,36551,s,1822,33628,35450,
