VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,61,1120,1181,s,901,3697,4598,
v,60,1113,1173,s,899,3694,4593,
v,60,1112,1172,s,899,3694,4593,
v,60,1113,1173,s,900,3697,4597,
v,60,1113,1173,s,900,3695,4595,
